full_text,tweet_url,label
Di meja judi : mau buang kartu aja mikirnya Kaya mikirin hutang negara. Di tempat lain : buang bayi aja kagak dipikir-pikir. Segampang itu kah? #realita #savechildren #pakepengamandong,https://x.com/pilgrimage666/status/1090284765557579776,Negatif
Wahai orang orang beriman Judi itu ... Nama orang ,https://x.com/myongjies/status/1090595682761596931,Negatif
Judi 29 Januari.,https://x.com/BSUZYcrs/status/1090205960155480067,Negatif
Judi gak baek base /g,https://x.com/FromU_RP/status/1090572241073430530,Negatif
Cari situs judi terbaik dan terpercaya yuk cek https://t.co/MMHFPFRKUO #judionline #pokeronline #casinoonline #dominoonine,https://x.com/Juddico/status/1090679172354043904,Positif
judi = jumblu ditinggal mati,https://x.com/vantezk/status/1090582103215861766,Negatif
ih judi tuh mainnya gimana ,https://x.com/vantezk/status/1090579960014589952,Negatif
Judi Pajar Pakong ma Togel Singapur eksis lagi sejak SBY lengser...,https://x.com/Bang_Denz04/status/1090464758988296194,Negatif
Pertandingan perdana di liga Inggris Higuain kurang mantap semoga gak bernasib seperti Lord Bendtner ,https://x.com/esonesia/status/1090735361918005248,Positif
Hai semua Saya Mau perkenalkan bahw disini saya lagi merecomanded situs judi online terpercaya buat kalian semua yang sukak bermain judi online bisa langsung join ke Poker online https://t.co/bYs3Ze7kb3 via @pinterest,https://x.com/nadiauraatika/status/1090310189037740032,Positif
Judi yuk judi. Kangen ngejudi :( base main judi yah? @inGREENTIME,https://x.com/bywoIf/status/1090539547052527616,Negatif
Kirk Kerkorian Pria Tajir Melintir Berkat Bisnis Judi Siapa yang menyangka meja https://t.co/29L0xrj7Gw,https://x.com/m18895/status/1089694754323890177,Negatif
Ungkap kasus judi togel oleh Polsek Cambai Kota Prabumulih. #humaspoldasumsel #kapoldasumsel #polisiindonesia #polisiprabumulih https://t.co/XLKnZ6vl74,https://x.com/ResPbm/status/1090399680427630592,Negatif
VIRAL Kebiasan buruk Delon Thamrin diketahui Yeslin Wang setelah setahun mereka berumah tangga. Delon sempat bilang akan berhenti main judi https://t.co/OxB2nj46qQ,https://x.com/korantempo/status/1090240666184036352,Negatif
Dianggap Judi #EA Akhirnya Stop Penjualan #FIFAPoint di Belgia - https://t.co/QCEzAqiZuB,https://x.com/PlayCubic/status/1090545303323762688,Negatif
Main Judi Tasio Online Warga Rejosari Ditangkap https://t.co/HKrcIUWxeO,https://x.com/jawapos/status/1090582147608408064,Positif
Yeslin Wang sudah tidak ingin lagi mempermasalahkan apa yang terjadi dengan mantan suaminya Delon. https://t.co/4vuqg2AkqP,https://x.com/kumparan/status/1090563803874418688,Negatif
